ImageID,XMin,XMax,YMin,YMax
0566cb7b75f522f2,0.875625,0.999375,0.113333,0.5875
7e434e1857d32824,0.275285,0.470194,0.375,0.494186
00c4b878d279f6c3,0.134375,0.790625,0.554167,0.88
cc29d2d67a07794e,0.426875,0.61625,0.447699,0.564854
1cccf036cfb3cf6f,0.117188,0.614258,0.424638,0.762319
28f7c0946f6fafd2,0.5525,0.59875,0.035,0.135
9ff559a267f9ed08,0.789276,0.999059,0.143125,0.395625
5d36d41b49f70b6c,0.51929,0.631944,0.268519,0.348765
081abb701f3d0f19,0.930556,0.949653,0.445312,0.454427
2a72c9a8b9572cc7,0.429688,0.492188,0.717448,0.785156
2a157f9ae86441e2,0.77875,0.811875,0.284644,0.304307
b00bc83c04e1b321,0.0275,0.213125,0.902439,0.981117
02e3e15d9c8a38b0,0.89375,0.916667,0.181944,0.225
97d891761e7d90d4,0.1725,0.865833,0.13,0.6925
08ef9a1571c6460a,0.187909,0.998366,0,0.133987
afa2fc79594f1204,0,0.064375,0.635098,0.886722
295e11f117be05d3,0.354375,0.701875,0.28424,0.775797
1c28e1196c001092,0,0.036875,0.371667,0.500833
3dc9b546bd7070d2,0.01625,0.0975,0,0.035
e3e5a4a1bae70d5f,0.675,0.715,0.085833,0.11
d3b4c335561842a8,0.893125,0.92,0.802064,0.865854
423299823c72b878,0,0.166667,0.439375,0.578125
734b970d8eb72cb7,0.328125,0.485625,0.338346,0.49812
4e2134c3f341b927,0.345703,0.379883,0.591146,0.647135
cc43d9a4c6a62998,0.661932,0.863636,0.102273,0.433712
4658ef0895be7d82,0.0275,0.10375,0.330833,0.458333
bf9fbf3660c580e5,0.371875,0.449375,0.430833,0.511667
9f5d2a016e871853,0.092188,0.816406,0.180208,0.41875
0095734b1bd2ea8d,0.625977,0.640625,0.727865,0.753906
ed87059293dc7954,0.536875,0.555,0.405,0.4375
9010925df34db6ca,0,0.073125,0.45283,0.548518
9c11465f9336fbf8,0.265625,0.741875,0.138837,0.809568
b6c0cdb840497dfc,0.196875,0.215,0.170901,0.180908
fc01ca4fc3773a40,0.254167,0.351667,0.75125,0.785
615eab1e46224583,0.564062,0.999219,0.749121,0.998828
03aeadec7ab4eae1,0.33,0.40125,0.34,0.469167
c4148a6a29fa738a,0.5725,0.62625,0.286636,0.360369
d52f730b0d6605d5,0.312562,0.599407,0.074603,0.742857
1a17b7ea4c431232,0,0.215,0.583333,0.998889
02e3e15d9c8a38b0,0.60625,0.68125,0.106944,0.154167
dda7645a418db1e3,0,0.859375,0.124167,0.429167
6f2dae4ad8a7157e,0.37875,0.4175,0.49,0.565833
09934d6bb43bac26,0.47,0.491875,0.766667,0.7975
232db5bb91a4b9a6,0.476667,0.49,0.394375,0.4075
c6f4c5f0e351e49e,0.344375,0.42625,0.003333,0.0425
c2c6b649a32fbcbe,0.236719,0.429688,0.005634,0.38216
83af51b5d5b6f64d,0.004882,0.929211,0.085964,0.912022
094809d6570c4a6b,0.564375,0.653125,0.652222,0.803333
670e4e5b0657f8cf,0.947266,0.998047,0.915179,0.998512
9db5993a7782daef,0.5125,0.574167,0.47,0.515
d9230adfdb9760e2,0.8125,0.831055,0.191406,0.221354
b2290c66252839de,0.125,0.863281,0.31901,0.790365
23d044e5553bf8c4,0.10875,0.75875,0.185,0.456667
1e7ff8787477240d,0.690625,0.834375,0.177128,0.33448
05e5190a82582cea,0.201172,0.266602,0.357247,0.392387
45a68019c4164200,0.357639,0.647569,0.845052,0.960938
2764ca2da911e845,0.579375,0.65375,0.459078,0.490122
6db94a2d341da179,0.111632,0.864916,0.28625,0.935625
16633b4b5c5d5b5b,0.48939,0.624668,0.345024,0.592417
271d136d603bfced,0.824219,0.999023,0.847656,0.97526
d1b95ad75d3a69a1,0.461875,0.500625,0.461667,0.4875
52c2c3e71dd84cfd,0.585,0.62875,0.65197,0.742026
45d37ab07a6bad1e,0.114375,0.634375,0,0.707778
02cfef33d6dc4fd6,0.229492,0.286133,0.485677,0.515625
f5ce2d51bbc4b279,0.116875,0.990625,0.0925,0.67
56921e0f81af4d76,0.172608,0.299562,0.699029,0.9188
fff1272ee6d98005,0.036875,0.068125,0.025833,0.084167
d1b1ace1e66fb8ca,0.590833,0.655833,0.576971,0.633292
